Name,Online_Name,Packaging Box,Company,Category,Price,Attributes,Packing_Charges
Veg Spring Rolls,Veg Spring Rolls,"SMALL_PAPER_BOX_6x6,ROUND_PLASTIC_CONTAINER_25ML",,Appetizers,169,veg,6
Crispy Corn Salt Pepper,Crispy Corn Salt Pepper,SMALL_PAPER_BOX_6x6,,Appetizers,209,veg,6
Crispy Crunchy Corn,Crispy Crunchy Corn,SMALL_PAPER_BOX_6x6,,Appetizers,209,veg,6
Crispy Chilly Baby Corn,Crispy Chilly Baby Corn,SMALL_PAPER_BOX_6x6,,Appetizers,209,veg,6
Honey Chilly Potato,Honey Chilly Potato,RECTANGULAR_PLASTIC_CONTAINER_500ML,Appetizers,209,veg,6,
Shanghai Paneer,Shanghai Paneer,RECTANGULAR_PLASTIC_CONTAINER_500ML,,Appetizers,229,veg,6
Shanghai Chicken,Shanghai Chicken,RECTANGULAR_PLASTIC_CONTAINER_500ML,,Appetizers,239,non-veg,6
Drums Of Heaven,Drums Of Heaven,SMALL_PAPER_BOX_6x6,,Appetizers,269,non-veg,6
Smoke Chilly Wings (phb Special),Smoke Chilly Chicken Wings,SMALL_PAPER_BOX_6x6,,Appetizers,269,non-veg,6
Golden Fried Prawns,Golden Fried Prawns,"BIG_PAPER_BOX_8x5,ROUND_PLASTIC_CONTAINER_25ML",,Appetizers,429,non-veg,6
Veg Steamed Momo,Veg Steamed Momos [8 Pieces],"SMALL_PAPER_BOX_6x6,ROUND_PLASTIC_CONTAINER_25ML,ROUND_PLASTIC_CONTAINER_25ML",,Momos,159,veg,6
Veg Pan Fried Momo,Veg Pan Fried Momos [8 Pieces],RECTANGULAR_PLASTIC_CONTAINER_500ML,,Momos,189,veg,6
Veg Deep Fried Momo,Veg Deep Fried Momos [8 Pieces],"SMALL_PAPER_BOX_6x6,ROUND_PLASTIC_CONTAINER_25ML,ROUND_PLASTIC_CONTAINER_25ML",,Momos,169,veg,6
Chicken Steamed Momo,Chicken Steamed Momos [8 Pieces],"SMALL_PAPER_BOX_6x6,ROUND_PLASTIC_CONTAINER_25ML,ROUND_PLASTIC_CONTAINER_25ML",,Momos,189,non-veg,6
Chicken Pan Fried,Chicken Pan Fried Momos [8 Pieces],RECTANGULAR_PLASTIC_CONTAINER_500ML,,Momos,209,non-veg,6
Chicken Deep Fried,Chicken Deep Fried Momos [8 Pieces],"SMALL_PAPER_BOX_6x6,ROUND_PLASTIC_CONTAINER_25ML,ROUND_PLASTIC_CONTAINER_25ML",,Momos,199,non-veg,6
Veg Jhol Momo,Veg Jhol Momos [6 Pieces],"ROUND_PLASTIC_CONTAINER_600ML,ROUND_PLASTIC_CONTAINER_25ML",,Momos,229,veg,10
Chicken Jhol Momo,Chicken Jhol Momos [6 Pieces],"ROUND_PLASTIC_CONTAINER_600ML,ROUND_PLASTIC_CONTAINER_25ML",,Momos,239,non-veg,10
Chilly Veg Momo,Chilly Veg Momos [8 Pieces],RECTANGULAR_PLASTIC_CONTAINER_500ML,,Momos,229,veg,6
Chilli Chicken Momo,Chilli Chicken Momos [8 Pieces],RECTANGULAR_PLASTIC_CONTAINER_500ML,,Momos,239,non-veg,6
Tomato Basil Soup,Tomato Basil Soup,ROUND_PLASTIC_CONTAINER_500ML,,Soup,149,veg,6
Veg Manchow Soup,Veg Manchow Soup,ROUND_PLASTIC_CONTAINER_500ML,,Soup,149,veg,6
Chicken Manchow Soup,Chicken Manchow Soup,ROUND_PLASTIC_CONTAINER_500ML,,Soup,159,non-veg,6
Veg Hot & Sour Soup,Veg Hot N Sour Soup,ROUND_PLASTIC_CONTAINER_500ML,,Soup,149,veg,6
Chicken Hot & Sour Soup,Chicken Hot N Sour Soup,ROUND_PLASTIC_CONTAINER_500ML,,Soup,159,non-veg,6
Veg Lemon Coriander Soup,Veg Lemon Coriander Soup,ROUND_PLASTIC_CONTAINER_500ML,,Soup,149,veg,6
Chicken Lemon Coriander Soup,Chicken Lemon Coriander Soup,ROUND_PLASTIC_CONTAINER_500ML,,Soup,159,non-veg,6
Chicken Clear Soup,Chicken Clear Soup,ROUND_PLASTIC_CONTAINER_500ML,,Soup,159,non-veg,6
Veg Manchurian,Veg Manchurian (Gravy),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Veg Manchurian,Veg Manchurian (Dry),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Paneer Manchurian,Paneer Manchurian (Gravy),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Paneer Manchurian,Paneer Manchurian (Dry),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Chicken Manchurian,Chicken Manchurian (Gravy),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,non-veg,0
Chicken Manchurian,Chicken Manchurian (Dry),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,non-veg,0
Veg Chilly,Veg Chilly (Gravy),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Veg Chilly,Veg Chilly (Dry),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Paneer Chilly,Paneer Chilly (Gravy),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Paneer Chilly,Paneer Chilly (Dry),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Chicken Chilly,Chicken Chilly (Gravy),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,non-veg,0
Chicken Chilly,Chicken Chilly (Dry),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,non-veg,0
Veg Hot Garlic Sauce,Veg in Hot Garlic Sauce,RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,249,veg,6
Paneer Hot Garlic Sauce,Paneer in Hot Garlic Sauce,RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,269,veg,6
Chicken Hot Garlic Sauce,Chicken in Hot Garlic Sauce,RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,279,non-veg,6
Veg Schezwan,Veg Schezwan (Dry),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Veg Schezwan,Veg Schezwan (Gravy),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Paneer Schezwan,Paneer Schezwan (Dry),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Paneer Schezwan,Paneer Schezwan (Gravy),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,veg,0
Chicken Schezwan,Chicken Schezwan (Dry),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,non-veg,0
Chicken Schezwan,Chicken Schezwan (Gravy),RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,0,non-veg,0
Veg Kung Pao,Veg Kung Pao,RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,249,veg,6
Paneer Kung Pao,Paneer Kung Pao,RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,269,veg,6
Chicken Kung Pao,Chicken Kung Pao,RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,279,non-veg,6
Chicken In Oyster Sauce,Chicken In Oyster Sauce,RECTANGULAR_PLASTIC_CONTAINER_500ML,,Mains,289,non-veg,6
Veg Hakka Noodles,Veg Hakka Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,219,veg,6
Chicken Hakka Noodles,Chicken Hakka Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,239,non-veg,6
Prawns Hakka Noodles,Prawns Hakka Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,259,non-veg,6
Veg Schezwan Noodles,Veg Schezwan Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,219,veg,6
Chicken Schezwan Noodles,Chicken Schezwan Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,239,non-veg,6
Prawns Schezwan Noodles,Prawns Schezwan Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,269,non-veg,6
Veg Shanghai Noodles,Veg Shanghai Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,219,veg,6
Chicken Shanghai Noodles,Chicken Shanghai Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,239,non-veg,6
Prawns Shanghai Noodles,Prawns Shanghai Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,269,non-veg,6
Veg Pan Fried Noodles,Veg Pan Fried Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,229,veg,6
Chicken Pan Fried Noodles,Chicken Pan Fried Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,259,non-veg,6
Prawns Pan Fried Noodles,Prawns Pan Fried Noodles,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Noodles,269,non-veg,6
Seven Jewel Fried Rice,Seven Jewel Fried Rice,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Rice,229,veg,6
Veg Fried Rice,Veg Fried Rice,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Rice,199,veg,6
Egg Fried Rice,Egg Fried Rice,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Rice,229,egg,6
Chicken Fried Rice,Chicken Fried Rice,"ROUND_PAPER_CONTAINER_750ML,ROUND_PLASTIC_CONTAINER_25ML",,Rice,239,non-veg,6
