Name,Online_Name,Stock,Company,Category,Price,Attributes,Packing_Charges
Veg Spring Rolls,Veg Spring Rolls,,,Appetizers,169,veg,6
Crispy Corn Salt Pepper,Crispy Corn Salt Pepper,,,Appetizers,209,veg,6
Crispy Crunchy Corn,Crispy Crunchy Corn,,,Appetizers,209,veg,6
Crispy Chilly Baby Corn,Crispy Chilly Baby Corn,,,Appetizers,209,veg,6
Honey Chilly Potato,Honey Chilly Potato,,,Appetizers,209,veg,6
Shanghai Paneer,Shanghai Paneer,,,Appetizers,229,veg,6
Shanghai Chicken,Shanghai Chicken,,,Appetizers,239,non-veg,6
Drums Of Heaven,Drums Of Heaven,,,Appetizers,269,non-veg,6
Smoke Chilly Wings (phb Special),Smoke Chilly Chicken Wings,,,Appetizers,269,non-veg,6
Golden Fried Prawns,Golden Fried Prawns,,,Appetizers,429,non-veg,6
Veg Steamed Momo,Veg Steamed Momos [8 Pieces],,,Momos,159,veg,6
Veg Pan Fried Momo,Veg Pan Fried Momos [8 Pieces],,,Momos,189,veg,6
Veg Deep Fried Momo,Veg Deep Fried Momos [8 Pieces],,,Momos,169,veg,6
Chicken Steamed Momo,Chicken Steamed Momos [8 Pieces],,,Momos,189,non-veg,6
Chicken Pan Fried,Chicken Pan Fried Momos [8 Pieces],,,Momos,209,non-veg,6
Chicken Deep Fried,Chicken Deep Fried Momos [8 Pieces],,,Momos,199,non-veg,6
Veg Jhol Momo,Veg Jhol Momos [6 Pieces],,,Momos,229,veg,10
Chicken Jhol Momo,Chicken Jhol Momos [6 Pieces],,,Momos,239,non-veg,10
Chilly Veg Momo,Chilly Veg Momos [8 Pieces],,,Momos,229,veg,6
Chilli Chicken Momo,Chilli Chicken Momos [8 Pieces],,,Momos,239,non-veg,6
Tomato Basil Soup,Tomato Basil Soup,,,Soup,149,veg,6
Veg Manchow Soup,Veg Manchow Soup,,,Soup,149,veg,6
Chicken Manchow Soup,Chicken Manchow Soup,,,Soup,159,non-veg,6
Veg Hot & Sour Soup,Veg Hot N Sour Soup,,,Soup,149,veg,6
Chicken Hot & Sour Soup,Chicken Hot N Sour Soup,,,Soup,159,non-veg,6
Veg Lemon Coriander Soup,Veg Lemon Coriander Soup,,,Soup,149,veg,6
Chicken Lemon Coriander Soup,Chicken Lemon Coriander Soup,,,Soup,159,non-veg,6
Chicken Clear Soup,Chicken Clear Soup,,,Soup,159,non-veg,6
Veg Manchurian,Veg Manchurian (Gravy),,,Mains,0,veg,0
Veg Manchurian,Veg Manchurian (Dry),,,Mains,0,veg,0
Paneer Manchurian,Paneer Manchurian (Gravy),,,Mains,0,veg,0
Paneer Manchurian,Paneer Manchurian (Dry),,,Mains,0,veg,0
Chicken Manchurian,Chicken Manchurian (Gravy),,,Mains,0,non-veg,0
Chicken Manchurian,Chicken Manchurian (Dry),,,Mains,0,non-veg,0
Veg Chilly,Veg Chilly (Gravy),,,Mains,0,veg,0
Veg Chilly,Veg Chilly (Dry),,,Mains,0,veg,0
Paneer Chilly,Paneer Chilly (Gravy),,,Mains,0,veg,0
Paneer Chilly,Paneer Chilly (Dry),,,Mains,0,veg,0
Chicken Chilly,Chicken Chilly (Gravy),,,Mains,0,non-veg,0
Chicken Chilly,Chicken Chilly (Dry),,,Mains,0,non-veg,0
Veg Hot Garlic Sauce,Veg in Hot Garlic Sauce,,,Mains,249,veg,6
Paneer Hot Garlic Sauce,Paneer in Hot Garlic Sauce,,,Mains,269,veg,6
Chicken Hot Garlic Sauce,Chicken in Hot Garlic Sauce,,,Mains,279,non-veg,6
Veg Schezwan,Veg Schezwan (Dry),,,Mains,0,veg,0
Veg Schezwan,Veg Schezwan (Gravy),,,Mains,0,veg,0
Paneer Schezwan,Paneer Schezwan (Dry),,,Mains,0,veg,0
Paneer Schezwan,Paneer Schezwan (Gravy),,,Mains,0,veg,0
